seed,turn,stability,true_stability,risk,active_civil_wars,settlements,mediated_settlements,brokered_insurgencies,broken_accords,successions,complacency_mean,complacency_max,grievance_mean,comp_avg_population_stability,comp_avg_leader_legitimacy,comp_avg_trust,comp_active_conflict_count,comp_active_insurgency_count,comp_conflict_pressure,comp_insurgency_pressure,comp_stability_contrib_population,comp_stability_contrib_legitimacy,comp_stability_contrib_trust,comp_stability_contrib_conflict_relief,comp_risk_contrib_population,comp_risk_contrib_legitimacy,comp_risk_contrib_trust,comp_risk_contrib_conflict,comp_risk_contrib_insurgency,v3_new_insurgencies,v3_civil_wars_started,v3_tech_breakthroughs,v3_migrations,v3_fragmentation_events,v3_negotiations_concluded,v3_intelligence_ops,ins_organizing,ins_active,ins_escalated,ins_civil_war,ins_suppressed,ins_other,pop_demographic_stress,pop_housing_pressure,pop_unemployment,pop_food_security,pop_refugees,pop_war_casualties,leader_legitimacy,leader_inst_control,leader_war_pressure,leader_elite_support,leader_scandals
42,11,0.6255,0.6255,0.3503,0,0,0,1,0,0,0.036,0.036,0.0357,0.6723,0.6406,0.5422,3,1,0.375,0.1667,0.2353,0.1922,0.1355,0.0625,0.1147,0.0898,0.0916,0.0375,0.0167,0,0,0,13,0,4,13,0,1,0,0,0,0,0.1683,0.0255,0.12,0.7431,0.1691,0.055,0.6512,0.5,0.0514,0.5929,1
42,12,0.6221,0.6221,0.3533,0,0,0,1,0,0,0.048,0.048,0.0507,0.6697,0.6325,0.5416,3,1,0.375,0.1667,0.2344,0.1898,0.1354,0.0625,0.1156,0.0919,0.0917,0.0375,0.0167,0,0,0,13,0,0,13,0,1,0,0,0,0,0.1763,0.0323,0.12,0.7459,0.1789,0.0603,0.6451,0.5,0.0486,0.5838,2
42,13,0.6189,0.6189,0.3562,0,0,0,1,0,0,0.06,0.06,0.0608,0.6652,0.6269,0.5419,3,1,0.375,0.1667,0.2328,0.1881,0.1355,0.0625,0.1172,0.0933,0.0916,0.0375,0.0167,1,0,0,8,0,0,14,0,1,0,0,1,0,0.1843,0.0397,0.12,0.7486,0.188,0.0657,0.6406,0.5,0.0457,0.5743,3
42,14,0.6199,0.6199,0.3552,0,0,0,1,0,0,0.072,0.072,0.0672,0.6679,0.6257,0.5437,3,1,0.375,0.1667,0.2338,0.1877,0.1359,0.0625,0.1162,0.0936,0.0913,0.0375,0.0167,0,0,0,18,0,1,17,0,1,0,0,1,0,0.192,0.0466,0.12,0.7512,0.1964,0.0711,0.6394,0.5,0.0429,0.5748,3
42,15,0.6342,0.6259,0.3581,0,0,0,2,0,0,0.084,0.084,0.0711,0.6651,0.6316,0.5477,2,2,0.25,0.3333,0.2328,0.1895,0.1369,0.075,0.1172,0.0921,0.0905,0.025,0.0333,2,0,0,7,0,3,9,1,1,0,0,2,0,0.1969,0.0526,0.12,0.7536,0.2014,0.0752,0.6427,0.5,0.0419,0.5748,3
42,16,0.6367,0.6367,0.3391,0,0,0,2,0,0,0.096,0.096,0.0746,0.67,0.6335,0.5484,2,1,0.25,0.1667,0.2345,0.1901,0.1371,0.075,0.1155,0.0916,0.0903,0.025,0.0167,0,0,0,8,0,0,7,0,1,0,0,3,0,0.2002,0.0578,0.12,0.7559,0.2061,0.0792,0.6438,0.5,0.039,0.5748,3
42,17,0.6329,0.6329,0.3426,0,0,0,2,0,0,0.108,0.108,0.076,0.6645,0.6242,0.5522,2,1,0.25,0.1667,0.2326,0.1873,0.1381,0.075,0.1174,0.094,0.0896,0.025,0.0167,0,0,0,12,0,3,10,0,1,0,0,3,0,0.202,0.062,0.12,0.7581,0.2104,0.0833,0.637,0.5,0.0362,0.5662,4
42,18,0.6251,0.6251,0.3498,0,0,0,2,0,0,0.12,0.12,0.0765,0.6532,0.6104,0.5534,2,1,0.25,0.1667,0.2286,0.1831,0.1383,0.075,0.1214,0.0974,0.0893,0.025,0.0167,0,0,0,11,0,0,12,0,1,0,0,3,0,0.2036,0.0653,0.12,0.7602,0.2144,0.0875,0.6273,0.5,0.0333,0.5476,6
42,19,0.6228,0.6228,0.3519,0,0,0,2,0,0,0.132,0.132,0.0768,0.6495,0.6055,0.5554,2,1,0.25,0.1667,0.2273,0.1817,0.1388,0.075,0.1227,0.0986,0.0889,0.025,0.0167,0,0,0,12,0,1,17,0,1,0,0,3,0,0.2057,0.068,0.12,0.7622,0.2182,0.0917,0.6236,0.5,0.0305,0.5386,7
42,20,0.6283,0.6283,0.347,1,0,0,2,0,0,0.1329,0.144,0.0769,0.6559,0.6142,0.5578,2,1,0.25,0.1667,0.2296,0.1842,0.1395,0.075,0.1204,0.0965,0.0884,0.025,0.0167,0,0,0,13,0,2,8,0,0,1,0,3,0,0.207,0.0699,0.12,0.764,0.2203,0.0959,0.629,0.5,0.0276,0.539,7
42,21,0.6145,0.6145,0.3599,1,0,0,2,0,0,0.144,0.156,0.113,0.6313,0.5957,0.5595,2,1,0.25,0.1667,0.2209,0.1787,0.1399,0.075,0.1291,0.1011,0.0881,0.025,0.0167,0,0,0,13,0,1,8,0,0,1,0,3,0,0.2088,0.0804,0.12,0.7656,0.2222,0.1001,0.6155,0.5,0.0268,0.5105,10
42,22,0.6194,0.6194,0.3555,1,0,0,2,0,0,0.1551,0.168,0.152,0.6365,0.6029,0.5631,2,1,0.25,0.1667,0.2228,0.1809,0.1408,0.075,0.1272,0.0993,0.0874,0.025,0.0167,0,0,0,8,0,3,10,0,0,1,0,3,0,0.2115,0.0982,0.12,0.7672,0.2241,0.1044,0.6195,0.5,0.0225,0.5105,10
42,23,0.6245,0.6245,0.3509,1,0,0,2,0,0,0.1662,0.18,0.1809,0.6441,0.6112,0.5627,2,1,0.25,0.1667,0.2254,0.1834,0.1407,0.075,0.1246,0.0972,0.0875,0.025,0.0167,0,0,0,10,0,0,9,0,0,1,0,3,0,0.2154,0.1187,0.12,0.7687,0.226,0.1087,0.6246,0.5,0.019,0.5105,10
42,24,0.6246,0.6246,0.3509,1,0,0,2,0,0,0.1772,0.192,0.2002,0.6434,0.6119,0.5633,2,1,0.25,0.1667,0.2252,0.1836,0.1408,0.075,0.1248,0.097,0.0873,0.025,0.0167,1,0,0,14,0,1,12,0,0,1,0,4,0,0.2193,0.1386,0.12,0.77,0.2279,0.113,0.6244,0.5,0.0162,0.5105,10
42,25,0.6127,0.6127,0.362,1,0,0,2,0,0,0.1883,0.204,0.2124,0.6237,0.593,0.5658,2,1,0.25,0.1667,0.2183,0.1779,0.1415,0.075,0.1317,0.1017,0.0868,0.025,0.0167,0,0,0,13,0,2,11,0,0,1,0,4,0,0.2235,0.1563,0.12,0.7714,0.2297,0.1174,0.6112,0.5,0.0133,0.4871,13
42,26,0.6242,0.62,0.3503,1,0,0,2,0,0,0.1994,0.216,0.2197,0.622,0.5915,0.5664,1,1,0.125,0.1667,0.2177,0.1774,0.1416,0.0875,0.1323,0.1021,0.0867,0.0125,0.0167,0,0,0,16,0,1,15,0,0,1,0,4,0,0.2265,0.1712,0.12,0.7727,0.2305,0.1206,0.6098,0.5,0.0105,0.4776,14
42,27,0.6196,0.6154,0.3549,0,1,1,2,0,0,0.2105,0.228,0.2252,0.6101,0.5882,0.5683,1,1,0.125,0.1667,0.2135,0.1764,0.1421,0.0875,0.1365,0.103,0.0863,0.0125,0.0167,0,0,0,13,0,1,13,0,0,0,0,4,0,0.2225,0.1721,0.12,0.7739,0.2305,0.1238,0.6101,0.5,0.0092,0.4681,15
42,28,0.6219,0.6177,0.3529,0,0,0,2,0,0,0.2215,0.24,0.2304,0.6127,0.5921,0.5691,1,1,0.125,0.1667,0.2144,0.1776,0.1423,0.0875,0.1356,0.102,0.0862,0.0125,0.0167,1,0,0,17,0,1,16,0,1,0,0,4,0,0.2298,0.1839,0.12,0.7753,0.2305,0.127,0.61,0.5,0.0063,0.4595,16
42,29,0.6221,0.6179,0.3525,0,0,0,2,0,0,0.2326,0.252,0.2595,0.6148,0.5901,0.5696,1,1,0.125,0.1667,0.2152,0.177,0.1424,0.0875,0.1348,0.1025,0.0861,0.0125,0.0167,0,0,0,12,0,0,13,0,1,0,0,4,0,0.2324,0.1998,0.12,0.7765,0.2313,0.1302,0.608,0.5,0.0048,0.4543,17
42,30,0.6153,0.6111,0.3589,0,0,0,2,0,0,0.2437,0.264,0.2864,0.6043,0.5788,0.5705,1,1,0.125,0.1667,0.2115,0.1736,0.1426,0.0875,0.1385,0.1053,0.0859,0.0125,0.0167,0,0,0,16,0,0,15,0,1,0,0,4,0,0.2359,0.2183,0.12,0.7777,0.2313,0.1335,0.5999,0.5,0.0048,0.4357,19
42,31,0.62,0.6158,0.3545,0,0,0,2,0,0,0.2548,0.276,0.3075,0.6111,0.5847,0.573,1,1,0.125,0.1667,0.2139,0.1754,0.1432,0.0875,0.1361,0.1038,0.0854,0.0125,0.0167,0,0,0,9,0,2,18,0,1,0,0,4,0,0.2394,0.2371,0.12,0.7788,0.2313,0.1367,0.6035,0.5,0.0048,0.4357,19
42,32,0.6203,0.6161,0.3543,0,0,0,2,0,0,0.2658,0.288,0.3231,0.6104,0.5862,0.5734,1,1,0.125,0.1667,0.2136,0.1758,0.1433,0.0875,0.1364,0.1035,0.0853,0.0125,0.0167,0,0,0,13,0,0,13,0,1,0,0,4,0,0.2427,0.2547,0.12,0.7798,0.2321,0.14,0.604,0.5,0.0048,0.4262,20
42,33,0.6197,0.6155,0.3548,0,0,0,2,0,0,0.2769,0.3,0.3347,0.6104,0.583,0.5747,1,1,0.125,0.1667,0.2136,0.1749,0.1437,0.0875,0.1364,0.1042,0.0851,0.0125,0.0167,0,0,0,12,0,1,16,0,1,0,0,4,0,0.2458,0.2702,0.12,0.7809,0.2329,0.1433,0.6015,0.5,0.0048,0.4171,21
42,34,0.6104,0.6062,0.3637,0,0,0,2,0,0,0.288,0.312,0.3451,0.5917,0.5729,0.5755,1,1,0.125,0.1667,0.2071,0.1719,0.1439,0.0875,0.1429,0.1068,0.0849,0.0125,0.0167,0,0,0,9,0,0,13,0,1,0,0,4,0,0.2487,0.284,0.12,0.7818,0.2329,0.1466,0.5939,0.5,0.0076,0.4029,23
42,35,0.6147,0.6105,0.36,0,0,0,2,0,0,0.2991,0.324,0.3518,0.5947,0.582,0.5778,1,1,0.125,0.1667,0.2081,0.1746,0.1445,0.0875,0.1419,0.1045,0.0844,0.0125,0.0167,0,0,0,9,0,1,12,0,1,0,0,4,0,0.2513,0.2956,0.12,0.7827,0.2329,0.1499,0.5997,0.5,0.0084,0.4033,23
42,36,0.5995,0.5953,0.3742,0,1,1,2,0,0,0.3111,0.336,0.3645,0.5691,0.56,0.5791,1,1,0.125,0.1667,0.1992,0.168,0.1448,0.0875,0.1508,0.11,0.0842,0.0125,0.0167,0,0,0,10,0,1,18,0,0,0,0,4,0,0.2469,0.2955,0.12,0.7836,0.2329,0.1532,0.5871,0.5,0.0078,0.3938,26
42,37,0.5933,0.5891,0.3802,0,0,0,1,0,0,0.3231,0.348,0.3725,0.5539,0.5571,0.5794,1,1,0.125,0.1667,0.1939,0.1671,0.1448,0.0875,0.1561,0.1107,0.0841,0.0125,0.0167,0,0,0,19,0,0,12,0,1,0,0,3,0,0.2547,0.3091,0.12,0.7844,0.2337,0.1565,0.5815,0.5,0.0081,0.3733,29
42,38,0.5891,0.5849,0.3844,0,1,1,1,0,0,0.3351,0.36,0.3774,0.5423,0.5539,0.5824,1,1,0.125,0.1667,0.1898,0.1662,0.1456,0.0875,0.1602,0.1115,0.0835,0.0125,0.0167,0,0,0,14,0,2,12,0,0,0,0,3,0,0.2504,0.3086,0.12,0.7852,0.2345,0.1599,0.5816,0.5,0.0078,0.3576,31
42,39,0.5906,0.5906,0.3664,0,0,0,0,0,0,0.3471,0.372,0.3802,0.5432,0.5564,0.5844,1,0,0.125,0.0,0.1901,0.1669,0.1461,0.0875,0.1599,0.1109,0.0831,0.0125,0.0,0,0,0,13,0,1,21,0,0,0,0,3,0,0.2577,0.3207,0.12,0.786,0.2355,0.1632,0.5802,0.5,0.0064,0.3576,32
42,40,0.5838,0.5796,0.3897,0,0,0,1,0,0,0.3591,0.384,0.3819,0.5284,0.5496,0.5857,1,1,0.125,0.1667,0.1849,0.1649,0.1464,0.0875,0.1651,0.1126,0.0829,0.0125,0.0167,1,0,0,14,0,1,11,0,1,0,0,3,0,0.2602,0.3299,0.12,0.7867,0.2364,0.1665,0.575,0.5,0.0049,0.3476,35
42,41,0.5797,0.5755,0.3937,0,0,0,1,0,0,0.3711,0.396,0.3829,0.5164,0.5495,0.5865,1,1,0.125,0.1667,0.1808,0.1648,0.1466,0.0875,0.1692,0.1126,0.0827,0.0125,0.0167,0,0,0,12,0,0,7,0,1,0,0,3,0,0.2621,0.3369,0.12,0.7873,0.2372,0.1699,0.5744,0.5,0.007,0.3424,37
42,42,0.5887,0.5845,0.3856,0,0,0,1,0,0,0.3831,0.408,0.3835,0.5291,0.5633,0.5879,1,1,0.125,0.1667,0.1852,0.169,0.147,0.0875,0.1648,0.1092,0.0824,0.0125,0.0167,0,0,0,15,0,1,10,0,1,0,0,3,0,0.2631,0.3422,0.12,0.7879,0.2381,0.1732,0.5833,0.5,0.0056,0.3424,37
42,43,0.5657,0.5449,0.4237,1,0,0,4,0,0,0.3628,0.42,0.3839,0.4901,0.5286,0.5923,1,2,0.125,0.3333,0.1715,0.1586,0.1481,0.0875,0.1785,0.1178,0.0815,0.0125,0.0333,1,0,0,10,0,3,17,1,0,1,0,3,0,0.2642,0.3482,0.12,0.7885,0.2391,0.1766,0.5597,0.5,0.007,0.3419,43
42,44,0.5758,0.555,0.4147,1,0,0,4,0,0,0.3738,0.432,0.3842,0.5,0.5507,0.5924,1,2,0.125,0.3333,0.175,0.1652,0.1481,0.0875,0.175,0.1123,0.0815,0.0125,0.0333,0,0,0,9,0,0,12,1,0,1,0,3,0,0.2649,0.3528,0.12,0.7891,0.2401,0.1799,0.5742,0.5,0.0077,0.3419,43
42,45,0.5846,0.5638,0.4063,1,0,0,4,0,0,0.3849,0.444,0.3843,0.5176,0.5585,0.5936,1,2,0.125,0.3333,0.1812,0.1676,0.1484,0.0875,0.1688,0.1104,0.0813,0.0125,0.0333,0,0,0,18,0,0,13,1,0,1,0,3,0,0.2654,0.3565,0.12,0.7896,0.2411,0.1833,0.5795,0.5,0.0055,0.3329,44
42,46,0.5904,0.5696,0.4008,1,0,0,4,0,0,0.396,0.456,0.3844,0.5292,0.563,0.595,1,2,0.125,0.3333,0.1852,0.1689,0.1487,0.0875,0.1648,0.1092,0.081,0.0125,0.0333,0,0,0,8,0,0,10,1,0,1,0,3,0,0.2659,0.3593,0.12,0.7901,0.2421,0.1867,0.5825,0.5,0.0048,0.3324,45
42,47,0.5899,0.5691,0.4015,1,0,0,4,0,0,0.4071,0.468,0.3845,0.5243,0.5653,0.5973,1,2,0.125,0.3333,0.1835,0.1696,0.1493,0.0875,0.1665,0.1087,0.0805,0.0125,0.0333,0,0,0,14,0,1,15,1,0,1,0,3,0,0.2663,0.3616,0.12,0.7905,0.2431,0.1901,0.5836,0.5,0.0076,0.3233,46
42,48,0.5947,0.5739,0.3972,1,0,0,4,0,0,0.4182,0.48,0.3845,0.5317,0.5709,0.5993,1,2,0.125,0.3333,0.1861,0.1713,0.1498,0.0875,0.1639,0.1073,0.0801,0.0125,0.0333,0,0,0,19,0,1,16,1,0,1,0,3,0,0.2669,0.3634,0.12,0.7909,0.2441,0.1935,0.587,0.5,0.0079,0.3238,46
42,49,0.5844,0.5636,0.4067,1,0,0,4,0,0,0.4292,0.492,0.3846,0.5166,0.552,0.6018,1,2,0.125,0.3333,0.1808,0.1656,0.1504,0.0875,0.1692,0.112,0.0796,0.0125,0.0333,0,0,0,15,0,2,16,0,1,1,0,3,0,0.2676,0.365,0.12,0.7913,0.2451,0.1969,0.5738,0.5,0.0051,0.3243,49
42,50,0.5775,0.5567,0.4134,0,1,1,4,0,0,0.4403,0.504,0.3846,0.4987,0.5481,0.6042,1,2,0.125,0.3333,0.1745,0.1644,0.1511,0.0875,0.1755,0.113,0.0792,0.0125,0.0333,0,0,0,16,0,2,10,0,1,0,0,3,0,0.2611,0.3547,0.12,0.7917,0.2462,0.2003,0.5732,0.5,0.0099,0.3176,51
42,51,0.5736,0.5694,0.4005,0,0,0,3,0,0,0.4514,0.516,0.3846,0.4901,0.5443,0.6052,1,1,0.125,0.1667,0.1715,0.1633,0.1513,0.0875,0.1785,0.1139,0.079,0.0125,0.0167,0,0,0,14,0,0,17,0,1,0,0,3,0,0.2667,0.3563,0.12,0.7921,0.2472,0.2037,0.5679,0.5,0.0089,0.3176,53
42,52,0.5845,0.5803,0.3904,0,0,0,3,0,0,0.4625,0.528,0.3846,0.5089,0.5562,0.6081,1,1,0.125,0.1667,0.1781,0.1669,0.152,0.0875,0.1719,0.111,0.0784,0.0125,0.0167,0,0,0,10,0,2,11,0,1,0,0,3,0,0.2674,0.3576,0.12,0.7926,0.2482,0.2071,0.5758,0.5,0.0054,0.3176,53
42,53,0.5891,0.5849,0.3861,0,0,0,3,0,0,0.4735,0.54,0.3846,0.5165,0.5612,0.6099,1,1,0.125,0.1667,0.1808,0.1684,0.1525,0.0875,0.1692,0.1097,0.078,0.0125,0.0167,0,0,0,16,0,1,14,0,1,0,0,3,0,0.2672,0.3587,0.12,0.7929,0.2493,0.2105,0.579,0.5,0.0062,0.3176,53
42,54,0.5843,0.5635,0.4073,0,1,1,4,0,0,0.4829,0.55,0.3846,0.5082,0.5548,0.6099,1,2,0.125,0.3333,0.1779,0.1664,0.1525,0.0875,0.1721,0.1113,0.078,0.0125,0.0333,1,0,0,14,0,0,13,0,1,0,0,3,0,0.2606,0.348,0.12,0.7932,0.2503,0.2139,0.5771,0.5,0.0061,0.3176,55
42,55,0.5796,0.5754,0.395,0,0,0,4,0,0,0.4838,0.55,0.3846,0.4989,0.5482,0.6122,1,1,0.125,0.1667,0.1746,0.1645,0.153,0.0875,0.1754,0.1129,0.0776,0.0125,0.0167,1,0,0,13,0,2,9,0,1,0,0,4,0,0.2661,0.3521,0.12,0.7936,0.2515,0.2173,0.5695,0.5,0.0048,0.3076,58
42,56,0.5769,0.5727,0.3974,0,0,0,4,0,0,0.4848,0.55,0.3846,0.4976,0.5395,0.6138,1,1,0.125,0.1667,0.1742,0.1618,0.1534,0.0875,0.1758,0.1151,0.0772,0.0125,0.0167,0,0,0,15,0,1,19,0,1,0,0,4,0,0.2669,0.355,0.12,0.7939,0.2526,0.2208,0.5636,0.5,0.0048,0.3076,60
42,57,0.5926,0.5593,0.3985,1,0,0,4,0,0,0.4857,0.55,0.3846,0.5056,0.5408,0.6137,0,2,0.0,0.3333,0.177,0.1622,0.1534,0.1,0.173,0.1148,0.0773,0.0,0.0333,0,0,0,11,0,0,22,0,1,1,0,3,0,0.2672,0.3596,0.12,0.7942,0.2526,0.2208,0.5641,0.5,0.0048,0.3076,61
42,58,0.5898,0.5398,0.4178,1,0,0,4,0,0,0.4866,0.55,0.3846,0.5004,0.5368,0.6144,0,3,0.0,0.5,0.1751,0.161,0.1536,0.1,0.1749,0.1158,0.0771,0.0,0.05,0,0,0,15,0,0,14,0,2,1,0,2,0,0.2677,0.3631,0.12,0.7944,0.2526,0.2208,0.561,0.5,0.0068,0.3076,63
42,59,0.591,0.5077,0.4501,1,0,0,5,0,0,0.4875,0.55,0.3846,0.5011,0.5396,0.6149,0,5,0.0,0.8333,0.1754,0.1619,0.1537,0.1,0.1746,0.1151,0.077,0.0,0.0833,1,0,0,13,0,0,14,1,3,1,0,1,0,0.2683,0.3655,0.12,0.7947,0.2526,0.2208,0.5626,0.5,0.0054,0.3081,64
42,60,0.5912,0.5079,0.4498,1,1,1,5,0,0,0.4885,0.55,0.3846,0.5039,0.5362,0.6158,0,5,0.0,0.8333,0.1764,0.1609,0.154,0.1,0.1736,0.116,0.0768,0.0,0.0833,0,0,0,14,0,0,13,1,2,1,0,1,0,0.2618,0.3558,0.12,0.7949,0.2526,0.2208,0.563,0.5,0.0062,0.3024,66
42,61,0.5747,0.5372,0.4324,1,0,0,4,0,0,0.4894,0.55,0.3846,0.5003,0.527,0.616,1,3,0.125,0.5,0.1751,0.1581,0.154,0.0875,0.1749,0.1182,0.0768,0.0125,0.05,0,0,0,11,0,0,17,0,2,1,0,2,0,0.2691,0.3605,0.12,0.7951,0.2611,0.223,0.5541,0.5,0.0067,0.3033,69
42,62,0.5771,0.5229,0.4472,1,0,0,5,0,0,0.4903,0.55,0.3846,0.4988,0.5357,0.6172,1,4,0.125,0.6667,0.1746,0.1607,0.1543,0.0875,0.1754,0.1161,0.0766,0.0125,0.0667,1,0,0,13,0,1,9,0,3,1,0,2,0,0.2717,0.3638,0.12,0.7953,0.2692,0.2253,0.5596,0.5,0.0148,0.3029,70
42,63,0.5798,0.5256,0.4447,0,2,1,5,0,0,0.4489,0.55,0.3846,0.5031,0.5386,0.6186,1,4,0.125,0.6667,0.1761,0.1616,0.1546,0.0875,0.1739,0.1154,0.0763,0.0125,0.0667,0,0,0,12,0,0,15,0,2,0,0,2,0,0.2625,0.349,0.12,0.7955,0.277,0.2276,0.5673,0.5,0.0187,0.3024,71
42,64,0.5722,0.5514,0.4184,1,0,0,3,0,0,0.4075,0.55,0.3846,0.4918,0.5252,0.6198,1,2,0.125,0.3333,0.1721,0.1576,0.155,0.0875,0.1779,0.1187,0.076,0.0125,0.0333,0,0,0,13,0,0,11,0,1,1,0,2,0,0.2741,0.3542,0.12,0.7957,0.2845,0.2299,0.5546,0.5,0.0229,0.291,75
42,65,0.5733,0.5358,0.4346,1,1,1,3,0,0,0.3662,0.55,0.3846,0.4854,0.535,0.6215,1,3,0.125,0.5,0.1699,0.1605,0.1554,0.0875,0.1801,0.1162,0.0757,0.0125,0.05,1,0,0,15,0,1,18,0,1,1,0,2,0,0.2706,0.3483,0.12,0.7959,0.2916,0.2322,0.5646,0.5,0.0314,0.291,76
42,66,0.5775,0.54,0.4304,1,0,0,4,0,0,0.3671,0.55,0.3846,0.496,0.5367,0.6215,1,3,0.125,0.5,0.1736,0.161,0.1554,0.0875,0.1764,0.1158,0.0757,0.0125,0.05,1,0,0,9,0,0,13,0,2,1,0,2,0,0.2789,0.3531,0.12,0.7961,0.2985,0.2345,0.5637,0.5,0.0357,0.291,78
42,67,0.5792,0.525,0.4455,2,0,0,6,0,0,0.368,0.55,0.3846,0.499,0.5385,0.6218,1,4,0.125,0.6667,0.1747,0.1616,0.1555,0.0875,0.1753,0.1154,0.0756,0.0125,0.0667,1,0,0,19,0,0,12,1,1,2,0,2,0,0.2821,0.3591,0.12,0.7963,0.3051,0.2368,0.5645,0.5,0.0314,0.2914,80
42,68,0.5726,0.5184,0.452,2,0,0,6,0,0,0.3689,0.55,0.3846,0.4823,0.5351,0.6231,1,4,0.125,0.6667,0.1688,0.1605,0.1558,0.0875,0.1812,0.1162,0.0754,0.0125,0.0667,0,0,0,11,0,1,15,1,1,2,0,2,0,0.2857,0.3635,0.12,0.7965,0.3115,0.2391,0.5618,0.5,0.0335,0.291,82
