record_no,reason_claimed,archived_file,archived_path_now,archived_size,archived_sha256,claimed_canonical_file,canonical_path_resolved,canonical_size,canonical_sha256,size_delta,hash_match,content_test,disposition,risk_note,duplicate_copies_in_project
11,older_version,ORION.ENF.HOOKMAP.0001__v0.1.1__2026-02-14.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_EXTERNAL_CONTROL_PLANE__v1.0.0__2026-02-14/ORION.ENF.HOOKMAP.0001__v0.1.1__2026-02-14.json,1540,2d0dc61a6a9f1778e940ffdb88b7377b8b19bf04526a94c802467f0623b8d72c,ORION.ENF.HOOKMAP.0001__v0.1.2__2026-02-14.json,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION.ENF.HOOKMAP.0001__v0.1.2__2026-02-14.json,1689,c86eb9c9df10490e1c545da2b0709de8e4540893d34c8b3813fa3e1a7725e1bb,-149,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
12,older_version,ORION.ENF.REQUIRED_GATES.0001__v0.1.1__2026-02-14.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_EXTERNAL_CONTROL_PLANE__v1.0.0__2026-02-14/ORION.ENF.REQUIRED_GATES.0001__v0.1.1__2026-02-14.json,2210,0278f831ca9d0c29be6b3613adb190fdd2ceb43dbde35a39ae6491a9b8ec96c5,ORION.ENF.REQUIRED_GATES.0001__v0.1.2__2026-02-14.json,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION.ENF.REQUIRED_GATES.0001__v0.1.2__2026-02-14.json,3104,bb8cd50701eb89f43760ab67a8d39b960039429180116b3e62c9233c744335e3,-894,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
13,older_version,ORION_PROJECT_INSTRUCTIONS__PERSISTENT_DEFAULTS__v1.1.0__2026-02-14.html,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_EXTERNAL_CONTROL_PLANE__v1.0.0__2026-02-14/ORION_PROJECT_INSTRUCTIONS__PERSISTENT_DEFAULTS__v1.1.0__2026-02-14.html,4561,0fd503a708b41b42c33a6a959a21684a9f0826935b0561cb10ad7ba065cb9161,ORION_PROJECT_INSTRUCTIONS__PERSISTENT_DEFAULTS__v1.1.1__2026-02-14.html,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION_PROJECT_INSTRUCTIONS__PERSISTENT_DEFAULTS__v1.1.1__2026-02-14.html,5123,12f42d0ba3d58197c31a5738585e923a0eb356a65199a529d9cf47f743dfd9f2,-562,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
14,older_version,ORION_PROJECT_SPACE_FRONT_DOOR__NAV__v1.5__2026-02-14.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_EXTERNAL_CONTROL_PLANE__v1.0.0__2026-02-14/ORION_PROJECT_SPACE_FRONT_DOOR__NAV__v1.5__2026-02-14.md,3530,3465be5e4a1f2abee9d6e039dc4cb000af13922d95e979bd7b719ba098503d64,ORION_PROJECT_SPACE_FRONT_DOOR__NAV__v1.7__2026-02-14.md,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION_PROJECT_SPACE_FRONT_DOOR__NAV__v1.7__2026-02-14.md,3614,b1a2fb77e6695ac25187d1cdcee738fa56ddf10e1942b17f690fa1a95b4febb2,-84,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
15,older_version,LOG__CONFLICT_MATRIX__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/LOG__CONFLICT_MATRIX__v1.0.md,471,6d371a366c59a324a411c9f6a2651619e3d6d6c019f0234ace78200a90272728,LOG__CONFLICT_MATRIX__v1.1.txt,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/LOG__CONFLICT_MATRIX__v1.1.txt,1746,b892725f779805299faaa7b5803348d45ed47cd4b152f6927a596a2d4f9439e0,-1275,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
16,older_version,LOG__CONFLICT_MATRIX__v1.0.txt,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/LOG__CONFLICT_MATRIX__v1.0.txt,471,6d371a366c59a324a411c9f6a2651619e3d6d6c019f0234ace78200a90272728,LOG__CONFLICT_MATRIX__v1.1.txt,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/LOG__CONFLICT_MATRIX__v1.1.txt,1746,b892725f779805299faaa7b5803348d45ed47cd4b152f6927a596a2d4f9439e0,-1275,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
17,older_version,LOG__DRIFT_LOG__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/LOG__DRIFT_LOG__v1.0.md,408,a5872e964b7f66ce4595b73516a6143a3fb0500eb70264b7a12b44087374aeca,LOG__DRIFT_LOG__v1.1.txt,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/LOG__DRIFT_LOG__v1.1.txt,1352,72718a7f79e6496dada6fbf15a8358fdbf0e7f8ea580da04fcdbf59649baf479,-944,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
18,older_version,LOG__DRIFT_LOG__v1.0.txt,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/LOG__DRIFT_LOG__v1.0.txt,408,a5872e964b7f66ce4595b73516a6143a3fb0500eb70264b7a12b44087374aeca,LOG__DRIFT_LOG__v1.1.txt,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/LOG__DRIFT_LOG__v1.1.txt,1352,72718a7f79e6496dada6fbf15a8358fdbf0e7f8ea580da04fcdbf59649baf479,-944,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
19,older_version,LOG__PROMOTION_QUEUE__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/LOG__PROMOTION_QUEUE__v1.0.md,458,2ca45023ad03d174794b1af21011f97bdfad33b5ae7b23c14bb3eb69acf0f3cc,LOG__PROMOTION_QUEUE__v1.1.txt,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/LOG__PROMOTION_QUEUE__v1.1.txt,1329,d94ac32e3a7abe542ce2044f67fa9b8cb9996ca6dfe4065f6993866b69b76343,-871,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
20,older_version,LOG__PROMOTION_QUEUE__v1.0.txt,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/LOG__PROMOTION_QUEUE__v1.0.txt,458,2ca45023ad03d174794b1af21011f97bdfad33b5ae7b23c14bb3eb69acf0f3cc,LOG__PROMOTION_QUEUE__v1.1.txt,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/LOG__PROMOTION_QUEUE__v1.1.txt,1329,d94ac32e3a7abe542ce2044f67fa9b8cb9996ca6dfe4065f6993866b69b76343,-871,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
21,older_version,ORION__DOC_METADATA_SCHEMA__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/ORION__DOC_METADATA_SCHEMA__v1.0.md,2144,7724df371575ed0fcad5592549c2b61919f1b12eb31a930f71c0d85a9fc62eee,ORION__DOC_METADATA_SCHEMA__v1.1.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__DOC_METADATA_SCHEMA__v1.1.md,963,006822c13dc76e4e840d20dd98c51352c9317547644c179a813b6d1fdda2ae9d,1181,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,5
22,older_version,ORION__DOC_METADATA_SCHEMA__v1.0.txt,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/ORION__DOC_METADATA_SCHEMA__v1.0.txt,2144,7724df371575ed0fcad5592549c2b61919f1b12eb31a930f71c0d85a9fc62eee,ORION__DOC_METADATA_SCHEMA__v1.1.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__DOC_METADATA_SCHEMA__v1.1.md,963,006822c13dc76e4e840d20dd98c51352c9317547644c179a813b6d1fdda2ae9d,1181,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,5
23,older_version,ORION__MASTER_INDEX__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/ORION__MASTER_INDEX__v1.0.md,4104,064c160e22f17810acd6e20b4e4ff97dbdbd6446a7c1db5813afeee6532827c5,ORION__MASTER_INDEX__v1.3.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__MASTER_INDEX__v1.3.md,1680,1566ebef6e61b8a51648f8f60953c155bb29c0971eaba09cf564b8ccfb5dba75,2424,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
24,older_version,ORION__MASTER_INDEX__v1.0.txt,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/ORION__MASTER_INDEX__v1.0.txt,4104,064c160e22f17810acd6e20b4e4ff97dbdbd6446a7c1db5813afeee6532827c5,ORION__MASTER_INDEX__v1.3.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__MASTER_INDEX__v1.3.md,1680,1566ebef6e61b8a51648f8f60953c155bb29c0971eaba09cf564b8ccfb5dba75,2424,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
25,older_version,ORION__RUNBOOK__Perplexity_Space__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/ORION__RUNBOOK__Perplexity_Space__v1.0.md,2470,9dc9cef5b988ce67a6ca8e8a47d4fbd13b71ddcb38c459dc2ebb38099cdf29da,ORION__RUNBOOK__Perplexity_Space__v1.3.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__RUNBOOK__Perplexity_Space__v1.3.md,1477,9134f64cf2f282885b06fd1a051b7da7599b2e4c6a361465197ea4d4f79fa2c3,993,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
26,older_version,ORION__RUNBOOK__Perplexity_Space__v1.0.txt,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/ORION__RUNBOOK__Perplexity_Space__v1.0.txt,2470,9dc9cef5b988ce67a6ca8e8a47d4fbd13b71ddcb38c459dc2ebb38099cdf29da,ORION__RUNBOOK__Perplexity_Space__v1.3.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__RUNBOOK__Perplexity_Space__v1.3.md,1477,9134f64cf2f282885b06fd1a051b7da7599b2e4c6a361465197ea4d4f79fa2c3,993,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,1
27,older_version,STAGING_MANIFEST__v1.0.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Doc_Kit_v1/STAGING_MANIFEST__v1.0.json,475,03bafa5ae84e5c942187c5b373e793ea7d676e4dc68d97784c93fad9d5462b8e,STAGING_MANIFEST__v2.2.json,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/STAGING_MANIFEST__v2.2.json,9054,7641569a047d17e71aebcdf8ca87beb1ef14d86eca8dea1144857eb597084566,-8579,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
28,older_version,L2_GUMAS_ENGINE__API_REFERENCE__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/L2_GUMAS_ENGINE__API_REFERENCE__v1.0.md,4933,fb8a17d6eb976d3c37a867186051d74ced0fbf4a4cc962e1c182ca00401fc39a,L2_GUMAS_ENGINE__API_REFERENCE__v1.1__NAMING_INTEGRATED__2026-02-09.md,02_DEVELOPMENT/Engine/Integration_Latest_v1.3/Engine Room/L2_GUMAS_ENGINE__API_REFERENCE__v1.1__NAMING_INTEGRATED__2026-02-09.md,7129,73c437fe30966678d39118e4f097690f1c9014549c23d77b2477f47b3c45c2a1,-2196,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,6
29,older_version,L2_GUMAS_ENGINE__API_REFERENCE__v1.0.txt,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/L2_GUMAS_ENGINE__API_REFERENCE__v1.0.txt,4933,fb8a17d6eb976d3c37a867186051d74ced0fbf4a4cc962e1c182ca00401fc39a,L2_GUMAS_ENGINE__API_REFERENCE__v1.1__NAMING_INTEGRATED__2026-02-09.md,02_DEVELOPMENT/Engine/Integration_Latest_v1.3/Engine Room/L2_GUMAS_ENGINE__API_REFERENCE__v1.1__NAMING_INTEGRATED__2026-02-09.md,7129,73c437fe30966678d39118e4f097690f1c9014549c23d77b2477f47b3c45c2a1,-2196,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,6
30,older_version,ORION__DOC_METADATA_SCHEMA__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/ORION__DOC_METADATA_SCHEMA__v1.0.md,2144,7724df371575ed0fcad5592549c2b61919f1b12eb31a930f71c0d85a9fc62eee,ORION__DOC_METADATA_SCHEMA__v1.1.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__DOC_METADATA_SCHEMA__v1.1.md,963,006822c13dc76e4e840d20dd98c51352c9317547644c179a813b6d1fdda2ae9d,1181,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,5
31,older_version,ORION__DOC_METADATA_SCHEMA__v1.0.txt,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/ORION__DOC_METADATA_SCHEMA__v1.0.txt,2144,7724df371575ed0fcad5592549c2b61919f1b12eb31a930f71c0d85a9fc62eee,ORION__DOC_METADATA_SCHEMA__v1.1.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__DOC_METADATA_SCHEMA__v1.1.md,963,006822c13dc76e4e840d20dd98c51352c9317547644c179a813b6d1fdda2ae9d,1181,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,5
32,older_version,ORION__MASTER_INDEX__v1.1.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/ORION__MASTER_INDEX__v1.1.md,4405,b163004e3b9ed616ed150a81be8f2c30e5070c84a7bcbe175541135ec00c7fa8,ORION__MASTER_INDEX__v1.3.md,04_DOCUMENTATION/ORION_Distribution/Slim_FileSet_v1_0/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__MASTER_INDEX__v1.3.md,1680,1566ebef6e61b8a51648f8f60953c155bb29c0971eaba09cf564b8ccfb5dba75,2725,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,3
